Investigation Type,Latitude,Longitude,Aircraft Category,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,
 Accident ,-23.491666,-46.644444,, Learjet , No ,,, Positioning , VMC , 
 Accident ,33.220556,-87.611389, Airplane , Piper , No ,2, Reciprocating ,, VMC , 
 Accident ,38.843055,-75.607778, Airplane , Blondin , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,30.685555,-86.747222, Airplane , Pipistrel , No ,1, Reciprocating , Personal , VMC , 
 Accident ,43.964167,-84.513889, Airplane , CESSNA , No ,1, Reciprocating , Personal , VMC , 
 Accident ,43.778889,-116.938611, Helicopter , Robinson , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,29.506111,-95.476945, Airplane , Bellanca , No ,1, Reciprocating , Personal , VMC , 
 Accident ,44.137222,-73.465833, Airplane , Smith Miniplane , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,32.565278,-97.308056, Airplane , Aeronca , No ,1, Reciprocating , Personal , VMC , 
 Accident ,44.866945,-123.198055,, Interplane , No ,1, Reciprocating , Personal , VMC , 
 Incident ,37.65,-97.384444,, Douglas , No ,4, Turbo Fan ,, VMC , 
 Accident ,39.6675,-119.876111, Airplane , Kelly , Yes ,1, Reciprocating , Flight Test , VMC , 
 Accident ,40.039444,-105.225834, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,41.457778,-80.373611, Airplane , Daniel R. Lloyd , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,40.023611,-91.873889, Airplane ," WRB Associates, LLC. ", No ,1, Reciprocating , Flight Test , VMC , 
 Accident ,30.209167,-85.8875,, Mooney , No ,1, Reciprocating , Personal , VMC , 
 Accident ,40.970834,-81.099722, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,40.412222,-86.936944, Airplane , Mooney , No ,1, Reciprocating , Business , VMC , 
 Accident ,32.753611,-101.918334, Airplane , Ayres , No ,1, Turbo Prop , Aerial Application , VMC , 
 Accident ,-23.55,-46.816667,, Robinson , No ,,, Personal , VMC , 
 Accident ,43.799722,-123.028889, Airplane , Dye , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,,,, Fokker , No ,,,, VMC , 
 Accident ,38.066389,-121.408333, Airplane , Piper , No ,1, Reciprocating , Business , VMC , 
 Accident ,33.688333,-112.0825,, Piper , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,33.688333,-112.0825,, Piper , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,37.483611,-120.691666, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,45.585,-122.138611, Airplane , Bagnall Harold E , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,44.304722,-96.816945, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,38.423334,-105.103611,, Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,33.675556,-117.868056,, Raytheon Corporate Jets , No ,2, Turbo Fan , Business , VMC , 
 Accident ,39.940277,-83.005, Helicopter , McDonnell Douglas Helicopter , No ,1, Turbo Shaft , Public Aircraft - Local , VMC , 
 Accident ,53.353333,-168.24, Helicopter , Robinson , No ,1, Reciprocating , Other Work Use , VMC , 
 Incident ,,, Airplane , BOEING , No ,2, Turbo Fan ,,, 
 Accident ,33.751667,-116.282778,, Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,42.719445,-76.941111,, Piper , No ,2, Reciprocating , Personal , VMC , 
 Accident ,35.874445,-106.268056,, Cessna , No ,1, Reciprocating , Business , VMC , 
 Accident ,46.842222,-92.193611, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,51.316667,-116.916667,, Cessna , No ,,, Personal ,, 
 Accident ,48.093055,-122.926389, Airplane , Grumman American , No ,1, Reciprocating , Personal , VMC , 
 Accident ,,,, Boeing , No ,,,,, 
